,x1,y1,x2,y2,label,confidence,objectid,frame_num
0,1146.66650390625,350.1441650390625,1193.9273681640625,399.84814453125,0.0,0.5198424458503723,d6c65672-82f7-49da-b928-de7cd6aca58f,560
0,936.3679809570312,492.7587585449219,982.5424194335938,564.539794921875,4.0,0.5742465853691101,348a9a9b-0ad6-4bef-9bc8-12e11072e3f3,690
0,907.8344116210938,498.3116455078125,970.4315185546876,581.1693725585938,1.0,0.7190418839454651,fdbccf52-f228-485d-8b73-c7cbf4c08a41,700
0,826.0501098632812,536.3470458984375,895.0215454101562,628.4537963867188,1.0,0.7044973373413086,7f544284-bd63-4abf-8430-4ce8da8be318,730
0,454.2076721191406,824.546630859375,617.9382934570312,896.83544921875,4.0,0.5045551061630249,9645a0e8-b1b0-4e04-90d2-217332309af2,820
0,967.973876953125,812.7167358398438,1060.244140625,930.808349609375,3.0,0.6104676127433777,669a8a9e-b22a-4c5c-bc4c-0d595402467b,990
0,927.6982421875,566.3488159179688,1053.757568359375,682.4100341796875,0.0,0.5663593411445618,ea8b8737-1837-4807-b39e-854fa2053c53,1130
160,920.5126953125,601.8707885742188,1049.62841796875,725.1109619140625,0.0,0.787800669670105,ea8b8737-1837-4807-b39e-854fa2053c53,1140
0,1848.16845703125,905.0130004882812,1917.187744140625,1075.371337890625,3.0,0.5051392912864685,111755a0-38eb-4a79-8a24-a8777d56b941,2100
0,576.0167846679688,285.1536560058594,680.1495361328125,360.81451416015625,3.0,0.5470329523086548,92d4cde4-1e0b-4400-8060-afaf70a9180b,2300
0,523.8087158203125,310.1987609863281,636.0231323242188,394.5679321289063,3.0,0.7246198654174805,92d4cde4-1e0b-4400-8060-afaf70a9180b,2410
0,1488.519775390625,678.7738647460938,1542.6083984375,757.1508178710938,1.0,0.6336246728897095,3bbfd69d-a581-4f53-be64-9bd732b2160e,3010
0,1340.6905517578125,971.2105102539062,1526.6334228515625,1074.856689453125,3.0,0.6005042195320129,426374a3-1b04-45ad-bab1-02649941151a,3100
0,1251.697998046875,564.4404296875,1311.4921875,612.1270141601562,3.0,0.6037961840629578,f390b45b-9996-4576-8dba-9348e0726a05,4090
0,1093.94140625,372.37921142578125,1148.788818359375,409.0440673828125,2.0,0.6006788015365601,18993433-9158-41b1-a675-b42330d662df,5070
0,1144.709228515625,516.5941162109375,1195.659912109375,554.742431640625,2.0,0.5631411075592041,18993433-9158-41b1-a675-b42330d662df,5110
0,328.5731506347656,663.9921875,682.4312744140625,790.3546752929688,3.0,0.5072131156921387,cb46a513-df50-4f52-aebf-8e33894bd4ba,8430
160,289.7757873535156,692.7444458007812,675.6399536132812,821.8748779296875,2.0,0.6844994425773621,cb46a513-df50-4f52-aebf-8e33894bd4ba,8440
180,251.1842498779297,770.1263427734375,662.3386840820312,898.59521484375,2.0,0.5314600467681885,cb46a513-df50-4f52-aebf-8e33894bd4ba,8460
200,205.88868713378903,834.183349609375,630.0157470703125,977.6560668945312,2.0,0.5670667886734009,cb46a513-df50-4f52-aebf-8e33894bd4ba,8480
210,195.68431091308597,885.559326171875,633.471923828125,1019.4088134765624,2.0,0.5180891156196594,cb46a513-df50-4f52-aebf-8e33894bd4ba,8490
0,682.442626953125,530.6751098632811,816.3541870117188,577.1839599609375,3.0,0.6834418773651123,099bdafe-8167-4d5c-a61f-8a9a6ff82172,9810
0,1139.8450927734375,548.8903198242189,1219.9632568359375,589.9774780273438,3.0,0.5911374092102051,3635bd9e-116e-4c14-ad00-2e456237f131,10570
0,1393.621337890625,515.9620971679689,1488.142333984375,607.4356079101562,3.0,0.6015834808349609,c300817c-3828-444c-8fca-3d0b87823f70,10640
0,1298.7720947265625,492.1451721191406,1336.8480224609375,530.6771850585939,0.0,0.5951151847839355,b49774ac-4f27-43a9-be6d-5d784f093e0a,10710
0,1314.77880859375,328.1189880371094,1427.75390625,438.1832580566406,1.0,0.5168920755386353,4b10a60d-af10-4841-9fec-db92c1d31c1c,10710
